---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 09-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-36  A 2C205  -----00  -----00  A 2FE04  -----00  -----00  -----00  -----00  -----00  ----D  00--------
02-37  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-38  A 2C205  -----00  D 5BF05  A 2FE04  -----00  -----00  -----00  D 5F13C  D 5F004  F----  00--------
02-39  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-40  -----4D  -----00  -----00  A 2FE04  -----00  -----00  -----00  -----00  -----00  -FF-D  00--------
02-41  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-42  A 2C205  -----00  -----00  A 2FE04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-43  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-44  A 2C205  -----00  -----00  A 2FE04  -----00  -----00  -----00  -----00  -----00  ----D  00--------
02-45  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-46  A 2C205  -----00  C 5BF05  A 2FE04  -----00  -----00  -----00  C 5F13C  C 5F004  F----  00--------
02-47  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-48  G 2C205  G 46A2D  A 4BF05  G 2FE04  G 5F104  B 5F104  D 6F104  A 4F13C  A 4F004  F---D  00--------
02-49  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-50  G 2C205  -----00  -----00  G 2FE04  -----00  -----00  -----00  -----00  -----00  ---F-  00--------
02-51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-52  G 2C205  -----00  -----00  G 2FE04  -----00  -----00  -----00  -----00  -----00  F---D  00--------
02-53  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-54  G 2C205  -----00  G 4BF05  G 2FE04  -----00  -----00  -----00  G 4F13C  G 4F004  F----  00--------
02-55  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-56  -----4D  -----00  -----00  G 2FE04  -----00  -----00  -----00  -----00  -----00  -FF-D  00--------
02-57  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-58  G 2C205  -----00  -----00  G 2FE04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-59  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-60  -----4D  -----00  -----00  G 2FE04  -----00  -----00  -----00  -----00  -----00  FFFFF  00--------
02-61  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-62  -----4D  -----00  -----00  G 2FE04  -----00  -----00  -----00  -----00  -----00  FFFFF  00--------
02-63  -----4D  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  FFFFF  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
03-00  A 2C205  A 2C24E  A 4B01C  A 2FF04  A 4F104  C 5F104  E 5F104  A 6F004  A 6F004  F---E  0BSYNTH5--
03-01  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  ---F116  -----00  ----F  00--------
03-02  A 4C205  -----00  -----00  A 4FF04  -----00  -----00  -----00  -----00  -----00  ----D  00--------
03-03  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  -----00  -----00  F---C  00--------
03-04  -----4D  -----00  -----00  A 2FF04  -----00  -----00  -----00  -----00  -----00  -FFEE  00--------
03-05  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  -----00  -----00  ----F  00--------
03-06  A 4C205  -----00  -----00  A 4FF04  -----00  -----00  -----00  A 6F13C  A 6F004  F---D  00--------
03-07  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  -----00  -----00  ----C  00--------
03-08  A 2C205  -----00  C 5B01C  A 2FF04  -----00  -----00  -----00  C 7F13C  C 7F004  F---E  00--------
03-09  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  -----00  -----00  ----F  00--------
03-10  A 4C205  -----00  -----00  A 4FF04  -----00  -----00  -----00  -----00  -----00  F---D  00--------
03-11  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  -----00  -----00  ----C  00--------
03-12  -----4D  -----00  -----00  A 2FF04  -----00  -----00  -----00  C 7F13C  C 7F004  -FFEE  00--------
03-13  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  -----00  -----00  ----F  00--------
03-14  A 4C205  -----00  B 4B01C  A 4FF04  -----00  -----00  -----00  B 6F13C  B 6F004  ----D  00--------
03-15  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  -----00  -----00  ----C  00--------
03-16  G 2C205  G 2C24E  A 4B01C  G 2FF04  G 4F104  B 4F104  D 5F104  A 6F13C  A 6F004  F---E  00--------
03-17  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  ----F  00--------
03-18  G 4C205  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----D  00--------
03-19  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  F---C  00--------
03-20  -----4D  -----00  E 4B01C  G 2FF04  -----00  -----00  -----00  E 6F13C  E 6F004  -FFEE  00--------
03-21  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  ----F  00--------
03-22  G 4C205  -----00  -----00  G 4FF04  -----00  -----00  -----00  E 6F13C  E 6F004  F---D  00--------
03-23  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  ----C  00--------
03-24  G 2C205  -----00  -----00  G 2FF04  -----00  -----00  -----00  -----00  -----00  F---E  00--------
03-25  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  ----F  00--------
03-26  -----4D  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  FFFED  00--------
03-27  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  ----C  00--------
03-28  -----4D  -----00  -----00  G 2FF04  -----00  -----00  -----00  -----00  -----00  -FFEE  00--------
03-29  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  ----F  00--------
03-30  -----4D  -----00  G 4B01C  G 4FF04  -----00  -----00  -----00  G 6F13C  G 6F004  -FFED  00--------
03-31  -----4D  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  -FFEC  00--------
03-32  C 3C205  C 3C24E  A 4B01C  C 3FF04  C 5F104  E 5F104  G 5F104  A 6F13C  A 6F004  F---E  00--------
03-33  C 4C205  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  ----F  00--------
03-34  C 5C205  -----00  -----00  C 5FF04  -----00  -----00  -----00  -----00  -----00  ----D  00--------
03-35  C 4C205  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  F---C  00--------
03-36  -----4D  -----00  -----00  C 3FF04  -----00  -----00  -----00  -----00  -----00  -FFEE  00--------
03-37  C 4C205  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  ----F  00--------
03-38  C 5C205  -----00  -----00  C 5FF04  -----00  -----00  -----00  A 6F13C  A 6F004  F---D  00--------
03-39  C 4C205  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  ----C  00--------
03-40  C 3C205  -----00  C 5B01C  C 3FF04  -----00  -----00  -----00  C 7F13C  C 7F004  F---E  00--------
03-41  C 4C205  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  ----F  00--------
03-42  C 5C205  -----00  -----00  C 5FF04  -----00  -----00  -----00  -----00  -----00  F---D  00--------
03-43  C 4C205  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  ----C  00--------
03-44  -----4D  -----00  B 4B01C  C 3FF04  -----00  -----00  -----00  B 6F13C  B 6F004  -FFEE  00--------
03-45  C 4C205  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  ----F  00--------
03-46  C 5C205  -----00  D 5B01C  C 5FF04  -----00  -----00  -----00  D 7F13C  D 7F004  ----D  00--------
03-47  C 4C205  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  ----C  00--------
03-48  B 2C205  B 2C24E  E 5B01C  B 2FF04  B 4F104  D 5F104  F#5F104  E 7F13C  E 7F004  F---E  00--------
03-49  B 3C205  -----00  -----00  B 3FF04  -----00  -----00  -----00  -----00  -----00  ----F  00--------
03-50  B 4C205  -----00  -----00  B 4FF04  -----00  -----00  -----00  -----00  -----00  ----D  00--------
03-51  B 3C205  -----00  -----00  B 3FF04  -----00  -----00  -----00  -----00  -----00  F---C  00--------
