---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 08-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,74,24 (Base, Snare, Tom)
Init with Volume     : B (all channels)
Init with Instrument : 4 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-60  C 4E44C  -----00  D 7C005  G 2FF04  -----00  -----00  -----00  D 7ED04  -----00  FFFFA  00--------
02-61  C 4E44C  -----00  C 7C005  -----00  -----00  -----00  -----00  C 7ED04  -----00  FFFFC  00--------
02-62  C 4E44C  -----00  D 7C005  G 2FF04  -----00  -----00  -----00  D 7DD04  -----00  FFFFA  00--------
02-63  C 4E44C  -----00  C 7C005  -----00  -----00  -----00  -----00  C 7DD04  -----00  FFFFC  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
03-00  D 3C205  D 55A2F  D 6C239  D 3FF04  D 5F104  F#5F104  A 5F104  D 6D704  D 7F004  F--D-  0BSYNTH5--
03-01  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 6D704  -----00  -----  00--------
03-02  C 4E44C  -----00  -----00  D 3FF04  -----00  -----00  -----00  F#6D704  -----00  FFFD-  00--------
03-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 6D704  -----00  -----  00--------
03-04  D 3C205  D 55A2F  -----00  D 3FF04  -----00  -----00  -----00  D 6D704  -----00  F--D-  00--------
03-05  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 6D704  -----00  -----  00--------
03-06  C 4E44C  -----00  -----00  D 3FF04  -----00  -----00  -----00  F#6D704  -----00  FFFD-  00--------
03-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 6D704  -----00  -----  00--------
03-08  D 3C205  D 55A2F  -----00  D 3FF04  -----00  -----00  -----00  D 6D704  -----00  F--D-  00--------
03-09  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 6D704  -----00  -----  00--------
03-10  C 4E44C  -----00  -----00  D 3FF04  -----00  -----00  -----00  F#6D704  -----00  FFFD-  00--------
03-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 6D704  -----00  -----  00--------
03-12  D 3C205  D 55A2F  D 6C239  D 3FF04  -----00  -----00  -----00  D 6D704  D 7F004  F--D-  00--------
03-13  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 6D704  -----00  -----  00--------
03-14  C 4E44C  -----00  -----00  D 3FF04  -----00  -----00  -----00  F#6D704  -----00  FFFD-  00--------
03-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 6D704  -----00  -----  00--------
03-16  E 3C205  E 54A2F  E 6C239  E 3FF04  E 5F104  G 5F104  B 5F104  E 6D704  E 7F004  F--D-  00--------
03-17  -----00  -----00  -----00  -----00  -----00  -----00  -----00  B 6D704  -----00  -----  00--------
03-18  C 4E44C  -----00  -----00  E 3FF04  -----00  -----00  -----00  G 6D704  -----00  FFFD-  00--------
03-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  E 6D704  -----00  -----  00--------
03-20  E 3C205  E 54A2F  -----00  E 3FF04  -----00  -----00  -----00  B 6D704  -----00  F--D-  00--------
03-21  -----00  -----00  -----00  -----00  -----00  -----00  -----00  G 6D704  -----00  -----  00--------
03-22  C 4E44C  -----00  B 5C239  E 3FF04  -----00  -----00  -----00  E 6D704  B 6F004  FFFD-  00--------
03-23  -----00  -----00  -----00  -----00  -----00  -----00  -----00  B 6D704  -----00  -----  00--------
03-24  E 3C205  E 54A2F  -----00  E 3FF04  -----00  -----00  -----00  G 6D704  -----00  F--D-  00--------
03-25  -----00  -----00  -----00  -----00  -----00  -----00  -----00  E 6D704  -----00  -----  00--------
03-26  C 4E44C  -----00  -----00  E 3FF04  -----00  -----00  -----00  B 6D704  -----00  FFFD-  00--------
