---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 08-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-36  ---DB49  A 5482F  -----00  A 2FF04  -----00  -----00  -----00  -----00  -----00  -FF-D  00--------
02-37  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-38  A 2C205  -----00  B 5C44E  A 2FF04  -----00  -----00  -----00  B 6F13C  B 6F004  ---FD  00--------
02-39  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-40  A 2C205  A 5482F  -----00  A 2FF04  -----00  -----00  -----00  -----00  -----00  F--FD  00--------
02-41  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-42  A 2C205  A 5482F  G 5C44E  A 2FF04  -----00  -----00  -----00  G 6F13C  G 6F004  ---FD  00--------
02-43  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-44  ---DB49  -----00  -----00  A 2FF04  -----00  -----00  -----00  -----00  -----00  -FFFD  00--------
02-45  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-46  A 2C205  A 5482F  E 5C44E  A 2FF04  -----00  -----00  -----00  E 6F13C  E 6F004  ----D  00--------
02-47  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-48  E 2C205  E 54A2F  ----F06  E 2FF04  E 5F104  G 5F104  B 5F104  ----F06  ----F06  F---D  00--------
02-49  E 3C205  -----00  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-50  E 2C205  -----00  -----00  E 2FF04  -----00  -----00  -----00  -----00  -----00  ----D  00--------
02-51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-52  ---DB49  E 54A2F  -----00  E 2FF04  -----00  -----00  -----00  -----00  -----00  -FF-D  00--------
02-53  ---DB49  -----00  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
02-54  E 2C205  E 54A2F  -----00  E 2FF04  -----00  -----00  -----00  -----00  -----00  ---FD  00--------
02-55  ---DB49  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
02-56  ---DB49  E 54A2F  F#5A44E  E 2FF04  -----00  -----00  -----00  F#6D13C  F#6D004  FFFFD  00--------
02-57  E 3C205  -----00  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-58  ---DB49  -----00  G 5B44E  E 2FF04  -----00  -----00  -----00  G 6E13C  G 6E004  -FFFD  00--------
02-59  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-60  ---DB49  E 54A2F  A 5C44E  E 2FF04  -----00  -----00  -----00  A 6F13C  A 6F004  -FFFD  00--------
02-61  ---DB49  -----00  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
02-62  E 2C205  E 54A2F  B 5C44E  E 2FF04  -----00  -----00  -----00  B 6F13C  B 6F004  ----D  00--------
02-63  ---DB49  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
03-00  G 2C205  G 56A2F  D 6C44E  G 2FF04  G 5F104  B 5F104  D 6F104  D 7F13C  D 7F004  F---D  00--------
03-01  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
03-02  G 2C205  -----00  -----00  G 2FF04  -----00  -----00  -----00  -----00  -----00  ----D  00--------
03-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
03-04  ---DB49  -----00  -----00  G 2FF04  -----00  -----00  -----00  -----00  -----00  -FF-D  00--------
03-05  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
03-06  G 2C205  G 56A2F  E 6C44E  G 2FF04  -----00  -----00  -----00  E 7F13C  E 7F004  ---FD  00--------
03-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
03-08  G 2C205  G 56A2F  B 5C44E  G 2FF04  -----00  -----00  -----00  B 6F13C  B 6F004  F--FD  00--------
03-09  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
03-10  G 2C205  -----00  -----00  G 2FF04  -----00  -----00  -----00  -----00  -----00  ---FD  00--------
03-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
03-12  ---DB49  -----00  -----00  G 2FF04  -----00  -----00  -----00  -----00  -----00  -FFFD  00--------
03-13  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
03-14  G 2C205  G 56A2F  G 5C44E  G 2FF04  -----00  -----00  -----00  G 6F13C  G 6F004  ----D  00--------
03-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
03-16  D 2C205  D 55A2F  A 5C44E  D 2FF04  D 5F104  F#5F104  A 5F104  A 6F13C  A 6F004  F---D  00--------
03-17  D 3C205  -----00  -----00  D 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
03-18  D 2C205  -----00  D 5C44E  D 2FF04  -----00  -----00  -----00  D 6F13C  D 6F004  ----D  00--------
03-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
03-20  ---DB49  -----00  -----00  D 2FF04  -----00  -----00  -----00  -----00  -----00  -FF-D  00--------
03-21  D 3C205  -----00  -----00  D 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
03-22  D 2C205  D 55A2F  -----00  D 2FF04  -----00  -----00  -----00  -----00  -----00  ---FD  00--------
03-23  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
03-24  ---DB49  D 55A2F  C 5C44E  D 2FF04  -----00  -----00  -----00  C 6F13C  C 6F004  FFFFD  00--------
03-25  ---DB49  -----00  -----00  D 3FF04  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
03-26  D 2C205  -----00  D 5C44E  D 2FF04  -----00  -----00  -----00  D 6F13C  D 6F004  ---FD  00--------
03-27  ---DB49  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
03-28  ---DB49  D 55A2F  E 5C44E  D 2FF04  -----00  -----00  -----00  E 6F13C  E 6F004  -FFFD  00--------
03-29  D 3C205  -----00  -----00  D 3FF04  -----00  -----00  -----00  -----00  -----00  -----  00--------
03-30  ---DB49  -----00  G 5C44E  D 2FF04  -----00  -----00  -----00  G 6F13C  G 6F004  -FF-D  00--------
03-31  ---DB49  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -FF--  00--------
03-32  A 2C205  A 5482F  C 6C44E  A 2FF04  A 5F104  C 6F104  E 6F104  C 7F13C  C 7F004  F---D  00--------
