---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 09-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
01-25  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-26  A#3C205  -----00  -----00  A#3FF04  -----00  -----00  -----00  -----00  -----00  F---B  00--------
01-27  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-28  A#2C205  A#4492E  C#5BF05  A#2FF04  -----00  -----00  -----00  -----00  C#5F004  ----9  00--------
01-29  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-30  A#3C205  A#4492E  -----00  A#3FF04  -----00  -----00  -----00  -----00  -----00  ----B  00--------
01-31  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-32  G 2C205  G 46A2E  D 5BF05  G 2FF04  G 4F104  B 4F104  D 5F104  -----00  D 5F004  F---9  00--------
01-33  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-34  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  ----B  00--------
01-35  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-36  G 2C205  G 46A2E  -----00  G 2FF04  -----00  -----00  -----00  -----00  ----F06  F---9  00--------
01-37  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-38  G 3C205  G 46A2E  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  F---B  00--------
01-39  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-40  G 2C205  G 46A2E  -----00  G 2FF04  -----00  -----00  -----00  -----00  -----00  ----9  00--------
01-41  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-42  G 3C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  F---B  00--------
01-43  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-44  G 2C205  G 46A2E  G 5BF05  G 2FF04  -----00  -----00  -----00  -----00  G 5F004  ----9  00--------
01-45  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-46  G 3C205  G 46A2E  -----00  G 3FF04  -----00  -----00  -----00  -----00  -----00  ----B  00--------
01-47  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-48  E 2C205  E 44A2E  F#5BF05  E 2FF04  E 4F104  G 4F104  B 4F104  -----00  F#5F004  F---9  00--------
01-49  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-50  E 3C205  -----00  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  ----B  00--------
01-51  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-52  E 2C205  E 44A2E  -----00  E 2FF04  -----00  -----00  -----00  -----00  ----F06  F---9  00--------
01-53  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-54  E 3C205  E 44A2E  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  F---B  00--------
01-55  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-56  E 2C205  E 44A2E  -----00  E 2FF04  -----00  -----00  -----00  -----00  -----00  -FF-9  00--------
01-57  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
01-58  E 3C205  -----00  -----00  E 3FF04  -----00  -----00  -----00  -----00  -----00  F---B  00--------
01-59  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  ----A  00--------
