---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 08-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-02  G 2C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  G 2F13C  -----00  ----D  00--------
02-03  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-04  C 4F44C  -----00  -----00  G 3FF04  -----00  -----00  -----00  G 2F13C  -----00  FFF-D  00--------
02-05  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-06  G 2C205  -----00  D 6C24E  G 3FF04  -----00  -----00  -----00  G 2F13C  D 6F004  ----D  00--------
02-07  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-08  G 2C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  G 2F13C  -----00  F---D  00--------
02-09  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-10  G 2C205  -----00  E 6C24E  G 3FF04  -----00  -----00  -----00  G 2F13C  E 6F004  ---FD  00--------
02-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-12  G 2C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  G 2F13C  ---F111  ----D  00--------
02-13  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-14  G 2C205  -----00  -----00  G 3FF04  -----00  -----00  -----00  G 2F13C  -----00  F---D  00--------
02-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-16  F#2C205  F#46A2D  C#6C24E  F#3FF04  F#5F104  A#5F104  C#6F104  F#2F13C  C#6F004  F---D  00--------
02-17  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-18  F#2C205  -----00  -----00  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  ----D  00--------
02-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-20  C 4F44C  -----00  -----00  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  FFF-D  00--------
02-21  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-22  F#2C205  -----00  -----00  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  ----D  00--------
02-23  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-24  F#2C205  -----00  -----00  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  F---D  00--------
02-25  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-26  F#2C205  -----00  -----00  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  ---FD  00--------
02-27  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-28  F#2C205  -----00  -----00  F#3FF04  -----00  -----00  -----00  F#2F13C  -----00  F---D  00--------
02-29  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-30  F#2C205  -----00  A#5C24E  F#3FF04  -----00  -----00  -----00  F#2F13C  A#5F004  ---FD  00--------
02-31  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-32  F 2C205  F 46A2D  C 6C24E  F 3FF04  F 5F104  A 5F104  C 6F104  F 2F13C  C 6F004  F---D  00--------
02-33  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-34  F 2C205  -----00  -----00  F 3FF04  -----00  -----00  -----00  F 2F13C  -----00  ----D  00--------
02-35  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-36  C 4F44C  -----00  -----00  F 3FF04  -----00  -----00  -----00  F 2F13C  -----00  FFF-D  00--------
02-37  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----00  -----  00--------
02-38  F 2C205  -----00  E 6C24E  F 3FF04  -----00  -----00  -----00  F 2F13C  E 6F004  ----D  00--------
