---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 05-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,74,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
01-35  -----00  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-36  C 2C105  -----00  D 5BF05  C 4FF04  -----00  -----00  -----00  -----00  D 6F004  F--DE  00--------
01-37  D 2C105  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-38  C 4D44C  -----00  E 5BF05  D 4FF04  -----00  -----00  -----00  -----00  E 6F004  -FF-E  00--------
01-39  -----00  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-40  F 2C105  G 44A2D  G 5BF05  F 4FF04  F 3FF04  G 5F104  B 5F104  D 6F104  G 6F004  F--DE  00--------
01-41  G 2C105  -----00  -----00  G 4FF04  G 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
01-42  C 4D44C  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
01-43  -----00  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-44  F 2C105  -----00  F#5BF05  F 4FF04  -----00  -----00  -----00  -----00  F#6F004  F--DE  00--------
01-45  G 2C105  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-46  C 4D44C  -----00  E 5BF05  G 4FF04  -----00  -----00  -----00  -----00  E 6F004  -FF-E  00--------
01-47  -----00  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-48  G 2C105  A 4482D  A 5BF05  G 4FF04  G 3FF04  A 5F104  C 6F104  E 6F104  A 6F004  F--DE  00--------
01-49  A 2C105  -----00  -----00  A 4FF04  A 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
01-50  C 4D44C  -----00  A 5BF05  A 4FF04  -----00  -----00  -----00  -----00  A 6F004  -FF-E  00--------
01-51  -----00  -----00  -----00  A 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-52  G 2C105  -----00  A 5BF05  G 4FF04  -----00  -----00  -----00  -----00  A 6F004  F--DE  00--------
01-53  A 2C105  -----00  -----00  A 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-54  C 4D44C  -----00  A 5BF05  A 4FF04  -----00  -----00  -----00  -----00  A 6F004  -FF-E  00--------
01-55  -----00  -----00  -----00  A 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-56  B 2C105  C 5482D  C 6BF05  B 4FF04  B 3FF04  C 6F104  E 6F104  G 6F104  C 7F004  F--DE  00--------
01-57  C 3C105  -----00  -----00  C 5FF04  C 4FF04  -----00  -----00  -----00  -----00  ----E  00--------
01-58  C 4D44C  -----00  C 6BF05  C 5FF04  -----00  -----00  -----00  -----00  C 7F004  -FF-E  00--------
01-59  -----00  -----00  -----00  C 5FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
01-60  C 4D44C  -----00  C 6BF05  B 4FF04  -----00  -----00  -----00  -----00  C 7F004  FFFDE  00--------
01-61  C 4D44C  -----00  -----00  C 5FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
01-62  C 4D44C  -----00  C 6BF05  C 5FF04  -----00  -----00  -----00  -----00  C 7F004  -FF-E  00--------
01-63  -----00  -----00  -----00  C 5FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
02-00  C 2C105  D 45A2D  G 5B01C  C 4FF04  C 3FF04  D 5F104  F#5F104  A 5F104  G 5F004  F--DE  07SYNTH4--
02-01  D 2C105  -----00  -----00  D 4FF04  D 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
02-02  C 4D44C  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
02-03  -----00  -----00  F 5B01C  D 4FF04  -----00  -----00  -----00  -----00  F 5F004  ----E  00--------
02-04  C 2C105  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  F--DE  00--------
02-05  D 2C105  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
02-06  C 4D44C  -----00  G 5B01C  D 4FF04  -----00  -----00  -----00  -----00  G 5F004  -FF-E  00--------
02-07  -----00  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
02-08  F 2C105  G 46A2D  -----00  F 4FF04  F 3FF04  G 5F104  B 5F104  D 6F104  -----00  F--DE  00--------
02-09  G 2C105  -----00  F 5B01C  G 4FF04  G 3FF04  -----00  -----00  -----00  F 5F004  ----E  00--------
02-10  C 4D44C  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
02-11  -----00  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
02-12  F 2C105  -----00  G 5B01C  F 4FF04  -----00  -----00  -----00  -----00  G 5F004  F--DE  00--------
02-13  G 2C105  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
02-14  C 4D44C  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
02-15  -----00  -----00  F 5B01C  G 4FF04  -----00  -----00  -----00  -----00  F 5F004  ----E  00--------
02-16  C 2C105  D 45A2D  -----00  C 4FF04  C 3FF04  D 5F104  F#5F104  A 5F104  -----00  F--DE  00--------
02-17  D 2C105  -----00  -----00  D 4FF04  D 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
02-18  C 4D44C  -----00  G 5B01C  D 4FF04  -----00  -----00  -----00  -----00  G 5F004  -FF-E  00--------
02-19  -----00  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
02-20  C 2C105  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  F--DE  00--------
02-21  D 2C105  -----00  F 5B01C  D 4FF04  -----00  -----00  -----00  -----00  F 5F004  ----E  00--------
02-22  C 4D44C  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
02-23  -----00  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
02-24  B 1C105  C 4482D  C 5B01C  B 3FF04  B 2FF04  C 5F104  E 5F104  G 5F104  C 6F004  F--DE  00--------
02-25  C 2C105  -----00  -----00  C 4FF04  C 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
02-26  C 4D44C  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
02-27  C 4D44C  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
02-28  C 4D44C  -----00  -----00  B 3FF04  -----00  -----00  -----00  -----00  -----00  FFFDE  00--------
02-29  C 4D44C  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
02-30  C 4D44C  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
02-31  C 4D44C  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
02-32  C 4D44C  D 45A2D  G 5B01C  C 4FF04  C 3FF04  D 5F104  F#5F104  A 5F104  G 5F004  FFFDE  00--------
02-33  D 2C105  -----00  -----00  D 4FF04  D 3FF04  -----00  -----00  -----00  -----00  ----E  00--------
02-34  C 4D44C  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
02-35  -----00  -----00  F 5B01C  D 4FF04  -----00  -----00  -----00  -----00  F 5F004  ----E  00--------
02-36  C 2C105  -----00  -----00  C 4FF04  -----00  -----00  -----00  -----00  -----00  F--DE  00--------
02-37  D 2C105  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
02-38  C 4D44C  -----00  G 5B01C  D 4FF04  -----00  -----00  -----00  -----00  G 5F004  -FF-E  00--------
02-39  -----00  -----00  -----00  D 4FF04  -----00  -----00  -----00  -----00  -----00  ----E  00--------
02-40  F 2C105  G 44A2D  -----00  F 4FF04  F 3FF04  G 5F104  B 5F104  D 6F104  -----00  F--DE  00--------
02-41  G 2C105  -----00  F 5B01C  G 4FF04  G 3FF04  -----00  -----00  -----00  F 5F004  ----E  00--------
02-42  C 4D44C  -----00  -----00  G 4FF04  -----00  -----00  -----00  -----00  -----00  -FF-E  00--------
